"Steps"	"weightUpdate"	"Level"	"PotentialEnergy"	"1 Weight"	"0.75 Weight"	"0.5 Weight"	"0.3 Weight"	"0.1 Weight"	"0.05 Weight"	"0.01 Weight"	"0.005 Weight"	"0.001 Weight"	"0 Weight"
3257000	0.015625	0.5	-12597.1	0	1.375	2.5	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3258000	0.015625	0.75	-12692.1	0	1.35938	2.5	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3259000	0.015625	0.75	-12618.3	0	1.35938	2.5	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3260000	0.015625	1	-12475.6	0	1.375	2.51562	2.78125	2.53125	1.85938	-0.203125	-0.921875	-2.45312	-5.04688
3261000	0.015625	0.5	-12555.9	0	1.375	2.5	2.78125	2.53125	1.85938	-0.203125	-0.921875	-2.45312	-5.04688
3262000	0.015625	0.5	-12271.2	0	1.375	2.5	2.78125	2.53125	1.85938	-0.203125	-0.921875	-2.45312	-5.04688
3263000	0.015625	0.75	-12353.9	0	1.35938	2.5	2.78125	2.53125	1.85938	-0.203125	-0.921875	-2.45312	-5.04688
3264000	0.015625	0.75	-12488	0	1.34375	2.5	2.78125	2.53125	1.85938	-0.203125	-0.921875	-2.45312	-5.04688
3265000	0.015625	0.75	-12395.7	0	1.34375	2.5	2.78125	2.53125	1.85938	-0.203125	-0.921875	-2.45312	-5.04688
3266000	0.015625	1	-12476	0	1.35938	2.51562	2.79688	2.54688	1.875	-0.1875	-0.90625	-2.4375	-5.03125
3267000	0.015625	0.75	-12551	0	1.34375	2.51562	2.79688	2.54688	1.875	-0.1875	-0.90625	-2.4375	-5.03125
3268000	0.015625	0.75	-12478.2	0	1.34375	2.51562	2.79688	2.54688	1.875	-0.1875	-0.90625	-2.4375	-5.03125
3269000	0.015625	0.75	-12442.6	0	1.32812	2.51562	2.79688	2.54688	1.875	-0.1875	-0.90625	-2.4375	-5.03125
3270000	0.015625	1	-12575.5	0	1.34375	2.53125	2.8125	2.5625	1.89062	-0.171875	-0.890625	-2.42188	-5.01562
3271000	0.015625	1	-12570	0	1.34375	2.53125	2.8125	2.5625	1.89062	-0.171875	-0.890625	-2.42188	-5.01562
3272000	0.015625	0.5	-12385.5	0	1.34375	2.51562	2.8125	2.5625	1.89062	-0.171875	-0.890625	-2.42188	-5.01562
3273000	0.015625	0.3	-12508.5	0	1.34375	2.51562	2.79688	2.5625	1.89062	-0.171875	-0.890625	-2.42188	-5.01562
3274000	0.015625	0.3	-12541.2	0	1.34375	2.51562	2.79688	2.5625	1.89062	-0.171875	-0.890625	-2.42188	-5.01562
3275000	0.015625	0.1	-12579.4	0	1.34375	2.51562	2.79688	2.54688	1.89062	-0.171875	-0.890625	-2.42188	-5.01562
3276000	0.015625	0.05	-12557.7	0	1.34375	2.51562	2.79688	2.54688	1.875	-0.171875	-0.890625	-2.42188	-5.01562
3277000	0.015625	0.05	-12519.7	0	1.34375	2.51562	2.79688	2.54688	1.875	-0.171875	-0.890625	-2.42188	-5.01562
3278000	0.015625	0.005	-12304.2	0	1.34375	2.51562	2.79688	2.54688	1.875	-0.171875	-0.90625	-2.42188	-5.01562
3279000	0.015625	0.005	-12500.3	0	1.34375	2.51562	2.79688	2.54688	1.875	-0.171875	-0.921875	-2.42188	-5.01562
3280000	0.015625	0.005	-12362.3	0	1.34375	2.51562	2.79688	2.54688	1.875	-0.171875	-0.921875	-2.42188	-5.01562
